employee_id,home_area,home_lat,home_lon,has_car,environmental_attitude,distance_to_workplace_km,nearest_station,station_mode,dist_to_station_km,connection_quality,walk_to_station_min,wait_min,ride_min,door_to_door_min,commute_band,adoption_score,adoption_tier
EMP0013,Hamburg-Innenstadt,53.556400647056016,10.003958368428853,True,58.0,14.7,Jungfernstieg,Rail,0.82,Good,10.9,11.5,36.7,69.1,>60 min,37.2,Low
EMP0014,Henstedt-Ulzburg / Kaltenkirchen,53.8029532673713,9.965389132069015,True,59.0,14.0,Kaltenkirchen (AKN),Rail,3.97,Poor,26.7,4.3,42.8,83.8,>60 min,27.4,Low
EMP0015,Eppendorf/Winterhude,53.59120388586169,9.989549546720308,True,56.0,11.3,Kellinghusenstraße,Rail,0.53,Good,7.1,11.8,28.2,57.1,46–60 min,41.7,Medium
EMP0016,Langenhorn,53.662767760966574,9.97056301172642,True,55.0,5.7,Langenhorn Nord,Rail,0.75,Good,10.0,9.5,12.0,41.5,31–45 min,47.1,Medium
EMP0017,Eimsbüttel,53.58680528475418,9.967046049047504,True,82.0,12.3,Kellinghusenstraße,Rail,1.21,Medium,16.1,13.9,28.2,68.2,>60 min,43.1,Medium
EMP0018,Norderstedt,53.69356258827775,10.014892800343652,True,29.0,2.3,Norderstedt Mitte,Rail,0.5,Good,6.7,14.7,6.4,37.8,31–45 min,39.0,Low
EMP0019,Henstedt-Ulzburg / Kaltenkirchen,53.815211672557325,9.977873311116051,False,49.0,15.0,Kaltenkirchen (AKN),Rail,2.82,Poor,26.7,0.6,42.8,80.1,>60 min,37.6,Low
EMP0020,Eimsbüttel,53.57594161208085,9.974599796503421,True,73.0,13.2,Kellinghusenstraße,Rail,1.44,Medium,19.2,6.7,28.2,64.1,>60 min,43.8,Medium
EMP0021,Quickborn,53.73492457832672,9.907877713434688,True,75.0,10.6,Quickborn (AKN),Rail,0.16,Good,2.1,8.2,25.5,45.8,46–60 min,54.2,Medium
EMP0022,Alsterdorf/Ohlsdorf,53.623295190420244,9.999557941211393,True,22.0,7.7,Ohlsdorf,Rail,1.34,Medium,17.9,2.2,15.5,45.6,46–60 min,36.1,Low
EMP0023,Pinneberg,53.642669396289456,9.79290893402989,True,44.0,17.4,Pinneberg,Rail,2.23,Poor,26.7,5.0,40.2,81.9,>60 min,26.9,Low
EMP0024,Ahrensburg,53.66123527671925,10.239972311948105,True,77.0,13.0,Ahrensburg,Rail,1.45,Medium,19.3,14.8,30.3,74.4,>60 min,38.1,Low
EMP0025,Quickborn,53.721278146025575,9.907179167546106,False,60.0,10.0,Quickborn (AKN),Rail,1.65,Medium,22.0,0.2,25.5,57.7,46–60 min,51.5,Medium
EMP0026,Langenhorn,53.637463838801516,9.975621058919224,True,54.0,7.2,Ohlsdorf,Rail,2.63,Poor,26.7,6.8,15.5,59.0,46–60 min,36.6,Low
EMP0027,Eppendorf/Winterhude,53.58621735559845,10.000528848149699,False,46.0,11.6,Kellinghusenstraße,Rail,1.01,Medium,13.5,12.6,28.2,64.3,>60 min,44.3,Medium
EMP0028,Norderstedt,53.704994338997274,10.006060422585895,False,42.0,3.4,Norderstedt Mitte,Rail,0.9,Good,12.0,4.9,6.4,33.3,31–45 min,56.7,Medium
EMP0029,Norderstedt,53.694651159336175,10.004819339162747,True,56.0,2.9,Norderstedt Mitte,Rail,0.52,Good,6.9,7.2,6.4,30.5,31–45 min,52.3,Medium
EMP0030,Hamburg-Innenstadt,53.55307790081942,9.996814528343036,True,45.0,15.2,Jungfernstieg,Rail,0.25,Good,3.3,14.7,36.7,64.7,>60 min,36.6,Low
EMP0031,Quickborn,53.74699217496711,9.905180074198709,True,49.0,11.5,Quickborn (AKN),Rail,1.24,Medium,16.5,7.1,25.5,59.1,46–60 min,38.5,Low
EMP0032,Pinneberg,53.67587686132268,9.798541043889783,False,52.0,16.4,Pinneberg,Rail,1.49,Medium,19.9,2.0,40.2,72.1,>60 min,44.9,Medium
EMP0033,Alsterdorf/Ohlsdorf,53.61430862065274,10.014732040228521,True,36.0,8.3,Ohlsdorf,Rail,1.92,Medium,25.6,0.8,15.5,51.9,46–60 min,36.7,Low
EMP0034,Alsterdorf/Ohlsdorf,53.628535858895695,10.000605709989085,False,61.0,7.1,Ohlsdorf,Rail,0.97,Good,12.9,14.2,15.5,52.6,46–60 min,52.8,Medium
EMP0035,Eppendorf/Winterhude,53.593921266584346,9.993187588761344,False,100.0,10.9,Kellinghusenstraße,Rail,0.91,Good,12.1,4.0,28.2,54.3,46–60 min,66.4,Medium
EMP0036,Langenhorn,53.65242601776173,9.995777769399165,False,14.0,5.1,Langenhorn Nord,Rail,1.5,Medium,20.0,7.6,12.0,49.6,46–60 min,39.0,Low
EMP0037,Norderstedt,53.69155599647801,9.999479204872658,False,56.0,3.2,Norderstedt Mitte,Rail,1.01,Medium,13.5,1.4,6.4,31.3,31–45 min,62.0,Medium
EMP0038,Eppendorf/Winterhude,53.57819463487435,9.976833455510294,False,35.0,12.9,Kellinghusenstraße,Rail,1.15,Medium,15.3,6.4,28.2,59.9,46–60 min,44.9,Medium
EMP0039,Langenhorn,53.651918661462666,9.962781548467575,True,62.0,6.7,Langenhorn Nord,Rail,1.77,Medium,23.6,14.0,12.0,59.6,46–60 min,38.2,Low
EMP0040,Hamburg-Innenstadt,53.54751983311925,9.993991099465767,True,51.0,15.8,Jungfernstieg,Rail,0.59,Good,7.9,7.5,36.7,62.1,>60 min,40.6,Medium
EMP0041,Eppendorf/Winterhude,53.60103585019379,9.998309172780326,True,65.0,10.0,Kellinghusenstraße,Rail,1.76,Medium,23.5,14.6,28.2,76.3,>60 min,30.9,Low
EMP0042,Henstedt-Ulzburg / Kaltenkirchen,53.82720769831166,9.963823891445749,False,74.0,16.6,Kaltenkirchen (AKN),Rail,1.28,Medium,17.1,3.9,42.8,73.8,>60 min,50.5,Medium
EMP0043,Hamburg-Innenstadt,53.53727818484623,10.005841898289285,False,54.0,16.8,Jungfernstieg,Rail,1.92,Medium,25.6,7.6,36.7,79.9,>60 min,40.7,Medium
EMP0044,Langenhorn,53.6647282746826,9.954671655668971,False,73.0,6.5,Langenhorn Nord,Rail,1.8,Medium,24.0,12.9,12.0,58.9,46–60 min,51.8,Medium
EMP0045,Henstedt-Ulzburg / Kaltenkirchen,53.799594560608426,9.968959338744309,True,3.0,13.6,Kaltenkirchen (AKN),Rail,4.37,Poor,26.7,6.7,42.8,86.2,>60 min,8.8,Low
EMP0046,Quickborn,53.74084697088463,9.924814382018036,False,82.0,10.1,Quickborn (AKN),Rail,1.15,Medium,15.3,4.2,25.5,55.0,46–60 min,59.9,Medium
EMP0047,Alsterdorf/Ohlsdorf,53.613689133493125,10.000722192351084,True,58.0,8.7,Ohlsdorf,Rail,2.18,Poor,26.7,12.8,15.5,65.0,>60 min,35.1,Low
EMP0048,Langenhorn,53.64249094174153,9.977601934882102,True,72.0,6.7,Langenhorn Nord,Rail,2.31,Poor,26.7,5.8,12.0,54.5,46–60 min,44.5,Medium
EMP0049,Hamburg-Innenstadt,53.560382969915686,9.986171080827715,False,26.0,14.6,Jungfernstieg,Rail,0.96,Good,12.8,8.0,36.7,67.5,>60 min,38.6,Low
EMP0050,Norderstedt,53.69144999287191,10.002156539539225,True,33.0,3.0,Norderstedt Mitte,Rail,0.89,Good,11.9,14.6,6.4,42.9,31–45 min,37.4,Low
EMP0051,Langenhorn,53.65546099761627,9.97813737994977,True,53.0,5.7,Langenhorn Nord,Rail,0.88,Good,11.7,2.8,12.0,36.5,31–45 min,49.7,Medium
EMP0052,Norderstedt,53.6868024758871,10.025374852836846,False,50.0,1.4,Norderstedt Mitte,Rail,1.52,Medium,20.3,4.5,6.4,41.2,31–45 min,52.3,Medium
EMP0053,Quickborn,53.729557167233125,9.927573866754875,True,56.0,9.2,Quickborn (AKN),Rail,1.41,Medium,18.8,0.5,25.5,54.8,46–60 min,41.5,Medium
EMP0054,Hamburg-Innenstadt,53.55537890440695,9.9903406077496,True,72.0,15.1,Jungfernstieg,Rail,0.34,Good,4.5,5.9,36.7,57.1,46–60 min,49.6,Medium
EMP0055,Hamburg-Innenstadt,53.54920755659064,10.012750602140645,True,15.0,15.4,Jungfernstieg,Rail,1.36,Medium,18.1,3.0,36.7,67.8,>60 min,25.8,Low
EMP0056,Quickborn,53.73938662002283,9.909555764769847,True,69.0,10.8,Quickborn (AKN),Rail,0.37,Good,4.9,10.2,25.5,50.6,46–60 min,49.4,Medium
EMP0057,Eppendorf/Winterhude,53.59661921853929,10.01553691026701,False,50.0,10.2,Kellinghusenstraße,Rail,2.25,Poor,26.7,2.7,28.2,67.6,>60 min,42.2,Medium
EMP0058,Eimsbüttel,53.59180661655528,9.962667013503465,False,46.0,11.9,Kellinghusenstraße,Rail,1.58,Medium,21.1,10.1,28.2,69.4,>60 min,41.2,Medium
EMP0059,Norderstedt,53.69407213849136,10.012410578260463,True,21.0,2.4,Norderstedt Mitte,Rail,0.39,Good,5.2,4.0,6.4,25.6,≤30 min,44.6,Medium
EMP0060,Norderstedt,53.68273142183154,10.01475474472643,True,60.0,2.2,Ochsenzoll,Rail,1.43,Medium,19.1,5.3,8.6,43.0,31–45 min,44.8,Medium
EMP0061,Hamburg-Innenstadt,53.561772224165715,10.025488536793675,True,2.0,13.9,Jungfernstieg,Rail,2.36,Poor,26.7,5.2,36.7,78.6,>60 min,13.6,Low
EMP0062,Eppendorf/Winterhude,53.58968511827903,10.006512855748447,False,63.0,11.1,Kellinghusenstraße,Rail,1.43,Medium,19.1,10.8,28.2,68.1,>60 min,46.5,Medium
EMP0063,Eimsbüttel,53.58974592444577,9.956527354700485,False,20.0,12.3,Kellinghusenstraße,Rail,1.92,Medium,25.6,7.0,28.2,70.8,>60 min,32.8,Low
EMP0064,Quickborn,53.739933771131824,9.918889978702758,False,51.0,10.3,Quickborn (AKN),Rail,0.77,Good,10.3,5.4,25.5,51.2,46–60 min,53.3,Medium
EMP0065,Eimsbüttel,53.57728862469797,9.959981674629157,True,48.0,13.4,Kellinghusenstraße,Rail,2.0,Medium,26.7,12.8,28.2,77.7,>60 min,27.6,Low
EMP0066,Eimsbüttel,53.58208775894047,9.958702498170988,True,73.0,13.0,Kellinghusenstraße,Rail,1.85,Medium,24.7,8.6,28.2,71.5,>60 min,38.8,Low
EMP0067,Eimsbüttel,53.598110125601266,9.97268601359892,True,46.0,11.0,Kellinghusenstraße,Rail,1.47,Medium,19.6,3.2,28.2,61.0,>60 min,36.0,Low
EMP0068,Langenhorn,53.681569805290536,9.981710855877711,False,36.0,4.3,Ochsenzoll,Rail,0.75,Good,10.0,13.5,8.6,42.1,31–45 min,49.9,Medium
EMP0069,Norderstedt,53.698193811351324,10.013885759145118,True,40.0,2.5,Norderstedt Mitte,Rail,0.2,Good,2.7,5.1,6.4,24.2,≤30 min,51.3,Medium
EMP0070,Eppendorf/Winterhude,53.594601905933175,9.998139852218653,False,75.0,10.7,Kellinghusenstraße,Rail,1.18,Medium,15.7,0.6,28.2,54.5,46–60 min,58.6,Medium
EMP0071,Langenhorn,53.67156240157467,9.984765831266055,False,61.0,4.4,Langenhorn Nord,Rail,0.96,Good,12.8,7.4,12.0,42.2,31–45 min,57.4,Medium
EMP0072,Alsterdorf/Ohlsdorf,53.60654338967233,10.016249658974361,True,42.0,9.1,Ohlsdorf,Rail,2.79,Poor,26.7,1.9,15.5,54.1,46–60 min,37.7,Low
EMP0073,Henstedt-Ulzburg / Kaltenkirchen,53.81333070372619,9.945630330672946,True,45.0,15.6,Kaltenkirchen (AKN),Rail,2.99,Poor,26.7,3.6,42.8,83.1,>60 min,25.0,Low
EMP0074,Langenhorn,53.660541371520466,9.988065726686097,True,19.0,4.8,Langenhorn Nord,Rail,0.5,Good,6.7,11.2,12.0,39.9,31–45 min,36.6,Low
EMP0075,Norderstedt,53.70063908211457,10.001279805801698,True,58.0,3.4,Norderstedt Mitte,Rail,0.73,Good,9.7,2.0,6.4,28.1,≤30 min,54.9,Medium
EMP0076,Langenhorn,53.65246631194051,9.966977008644406,True,15.0,6.5,Langenhorn Nord,Rail,1.54,Medium,20.5,12.1,12.0,54.6,46–60 min,27.2,Low
EMP0077,Langenhorn,53.64490432506691,9.980815887561414,False,65.0,6.4,Langenhorn Nord,Rail,2.02,Poor,26.7,14.1,12.0,62.8,>60 min,46.8,Medium
EMP0078,Hamburg-Innenstadt,53.530370165640086,9.994539810033144,True,53.0,17.7,Jungfernstieg,Rail,2.5,Poor,26.7,9.1,36.7,82.5,>60 min,29.4,Low
EMP0079,Eimsbüttel,53.567426158870106,9.956664938354276,True,98.0,14.5,Kellinghusenstraße,Rail,2.9,Poor,26.7,10.7,28.2,75.6,>60 min,44.9,Medium
EMP0080,Quickborn,53.73151324715061,9.91751031857668,False,28.0,9.9,Quickborn (AKN),Rail,0.75,Good,10.0,10.7,25.5,56.2,46–60 min,42.8,Medium
EMP0081,Hamburg-Innenstadt,53.54816808413351,9.980278248336292,False,48.0,16.0,Jungfernstieg,Rail,0.99,Good,13.2,14.9,36.7,74.8,>60 min,41.6,Medium
EMP0082,Alsterdorf/Ohlsdorf,53.6343723116243,10.007930562512275,True,86.0,6.3,Ohlsdorf,Rail,0.52,Good,6.9,5.1,15.5,37.5,31–45 min,59.5,Medium
EMP0083,Henstedt-Ulzburg / Kaltenkirchen,53.821059933699075,9.95915125865067,False,74.0,16.0,Kaltenkirchen (AKN),Rail,1.96,Medium,26.1,2.4,42.8,81.3,>60 min,45.2,Medium
EMP0084,Norderstedt,53.68787908883658,10.010634127296607,False,36.0,2.4,Norderstedt Mitte,Rail,1.07,Medium,14.3,7.8,6.4,38.5,31–45 min,50.7,Medium
EMP0085,Norderstedt,53.70097708452451,10.013888642846473,False,54.0,2.7,Norderstedt Mitte,Rail,0.43,Good,5.7,8.0,6.4,30.1,31–45 min,61.8,Medium
EMP0086,Norderstedt,53.69342921763649,10.001021070503766,False,50.0,3.1,Norderstedt Mitte,Rail,0.8,Good,10.7,2.7,6.4,29.8,≤30 min,61.1,Medium
EMP0087,Hamburg-Innenstadt,53.5482563616196,10.000942826774562,True,56.0,15.7,Jungfernstieg,Rail,0.72,Good,9.6,9.2,36.7,65.5,>60 min,39.8,Low
EMP0088,Eppendorf/Winterhude,53.594853256494154,9.998630023683347,False,36.0,10.7,Kellinghusenstraße,Rail,1.22,Medium,16.3,0.2,28.2,54.7,46–60 min,46.8,Medium
EMP0089,Norderstedt,53.70369171116975,9.992180537466881,True,48.0,4.1,Norderstedt Mitte,Rail,1.42,Medium,18.9,13.9,6.4,49.2,46–60 min,38.7,Low
EMP0090,Eppendorf/Winterhude,53.58960741516116,9.978414085596029,False,18.0,11.7,Kellinghusenstraße,Rail,0.53,Good,7.1,4.0,28.2,49.3,46–60 min,45.7,Medium
EMP0091,Norderstedt,53.70813851532734,10.010976807070708,False,53.0,3.4,Norderstedt Mitte,Rail,1.18,Medium,15.7,0.6,6.4,32.7,31–45 min,60.4,Medium
EMP0092,Hamburg-Innenstadt,53.539680617738576,9.991490326822136,True,59.0,16.7,Jungfernstieg,Rail,1.46,Medium,19.5,1.6,36.7,67.8,>60 min,40.0,Low
EMP0093,Eppendorf/Winterhude,53.59306339062363,9.996965798864252,True,45.0,10.9,Kellinghusenstraße,Rail,1.01,Medium,13.5,3.6,28.2,55.3,46–60 min,39.3,Low
EMP0094,Alsterdorf/Ohlsdorf,53.64097673726596,10.011720175434698,False,18.0,5.6,Ohlsdorf,Rail,1.06,Medium,14.1,4.1,15.5,43.7,31–45 min,44.5,Medium
EMP0095,Langenhorn,53.66303079742625,9.983655598395103,False,70.0,4.9,Langenhorn Nord,Rail,0.12,Good,1.6,0.5,12.0,24.1,≤30 min,72.3,High
EMP0096,Eimsbüttel,53.592932145066065,9.973076496098482,True,57.0,11.5,Kellinghusenstraße,Rail,1.03,Medium,13.7,4.2,28.2,56.1,46–60 min,42.8,Medium
EMP0097,Alsterdorf/Ohlsdorf,53.61591520178173,10.000888950990825,False,35.0,8.4,Ohlsdorf,Rail,1.96,Medium,26.1,2.9,15.5,54.5,46–60 min,44.8,Medium
EMP0098,Norderstedt,53.703307770953295,9.999380284070993,False,44.0,3.6,Norderstedt Mitte,Rail,1.01,Medium,13.5,5.7,6.4,35.6,31–45 min,55.9,Medium
EMP0099,Norderstedt,53.69693216805607,10.000166761421127,True,20.0,3.3,Norderstedt Mitte,Rail,0.72,Good,9.6,5.8,6.4,31.8,31–45 min,41.0,Medium
EMP0100,Pinneberg,53.66089592418835,9.798989166671687,True,29.0,16.6,Pinneberg,Rail,0.27,Good,3.6,5.1,40.2,58.9,46–60 min,36.7,Low
EMP0101,Ahrensburg,53.66640517603275,10.250249473786464,True,39.0,13.6,Ahrensburg,Rail,1.19,Medium,15.9,4.9,30.3,61.1,>60 min,35.9,Low
EMP0102,Hamburg-Innenstadt,53.555403013589576,9.989386605617605,False,75.0,15.1,Jungfernstieg,Rail,0.38,Good,5.1,1.3,36.7,53.1,46–60 min,63.1,Medium
EMP0103,Langenhorn,53.65228462810814,9.956383001558404,True,37.0,7.1,Langenhorn Nord,Rail,2.07,Poor,26.7,0.4,12.0,49.1,46–60 min,37.9,Low
EMP0104,Pinneberg,53.66925585236313,9.779060071373895,False,63.0,17.7,Pinneberg,Rail,1.34,Medium,17.9,3.0,40.2,71.1,>60 min,49.8,Medium
EMP0105,Quickborn,53.74695287004446,9.90086963277204,True,39.0,11.7,Quickborn (AKN),Rail,1.33,Medium,17.7,11.3,25.5,64.5,>60 min,32.1,Low
EMP0106,Hamburg-Innenstadt,53.55476531407237,9.988122711125047,False,55.0,15.2,Jungfernstieg,Rail,0.39,Good,5.2,14.9,36.7,66.8,>60 min,48.2,Medium
EMP0107,Eppendorf/Winterhude,53.59013751266445,9.993916113727453,True,47.0,11.3,Kellinghusenstraße,Rail,0.66,Good,8.8,13.9,28.2,60.9,>60 min,36.6,Low
EMP0108,Langenhorn,53.66533965579309,9.981785811229809,True,67.0,4.9,Langenhorn Nord,Rail,0.25,Good,3.3,7.6,12.0,32.9,31–45 min,55.6,Medium
EMP0109,Norderstedt,53.69441326944453,10.007982536691776,False,39.0,2.7,Norderstedt Mitte,Rail,0.4,Good,5.3,8.0,6.4,29.7,≤30 min,57.6,Medium
EMP0110,Ahrensburg,53.68355547125465,10.248293396105433,True,19.0,13.3,Ahrensburg,Rail,1.25,Medium,16.7,4.7,30.3,61.7,>60 min,29.2,Low
EMP0111,Eppendorf/Winterhude,53.57468593915785,9.991239826943186,False,22.0,13.0,Kellinghusenstraße,Rail,1.45,Medium,19.3,11.6,28.2,69.1,>60 min,35.1,Low
EMP0112,Langenhorn,53.65744392631881,9.972776820405246,False,39.0,5.9,Langenhorn Nord,Rail,0.87,Good,11.6,11.5,12.0,45.1,46–60 min,50.1,Medium
EMP0113,Langenhorn,53.64089188004876,9.986188755385205,False,25.0,6.5,Ohlsdorf,Rail,2.12,Poor,26.7,12.7,15.5,64.9,>60 min,33.5,Low
EMP0114,Eimsbüttel,53.56364939169773,9.948243579300739,False,58.0,15.1,Jungfernstieg,Rail,3.2,Poor,26.7,13.4,36.7,86.8,>60 min,36.1,Low
EMP0115,Norderstedt,53.71113862229814,10.014996917053201,True,41.0,3.5,Norderstedt Mitte,Rail,1.54,Medium,20.5,6.5,6.4,43.4,31–45 min,39.9,Low
EMP0116,Henstedt-Ulzburg / Kaltenkirchen,53.81895184981972,9.966025531837262,False,97.0,15.7,Kaltenkirchen (AKN),Rail,2.21,Poor,26.7,11.5,42.8,91.0,>60 min,45.5,Medium
EMP0117,Quickborn,53.72890519766715,9.907725575100818,False,15.0,10.3,Quickborn (AKN),Rail,0.81,Good,10.8,12.1,25.5,58.4,46–60 min,37.8,Low
EMP0118,Hamburg-Innenstadt,53.53607496543959,10.009582761071494,True,54.0,16.9,Jungfernstieg,Rail,2.16,Poor,26.7,4.6,36.7,78.0,>60 min,32.0,Low
EMP0119,Alsterdorf/Ohlsdorf,53.585354711621584,10.005777925547052,True,27.0,11.6,Kellinghusenstraße,Rail,1.37,Medium,18.3,13.9,28.2,70.4,>60 min,24.6,Low
EMP0120,Eimsbüttel,53.57316504492068,9.98420298170524,False,40.0,13.3,Kellinghusenstraße,Rail,1.56,Medium,20.8,1.4,28.2,60.4,>60 min,46.4,Medium
EMP0121,Eimsbüttel,53.60280415012247,9.961345685507718,True,53.0,10.9,Kellinghusenstraße,Rail,2.35,Poor,26.7,14.9,28.2,79.8,>60 min,25.8,Low
EMP0122,Hamburg-Innenstadt,53.55544884271463,9.980929835550299,False,3.0,15.2,Jungfernstieg,Rail,0.86,Good,11.5,11.6,36.7,69.8,>60 min,30.7,Low
EMP0123,Norderstedt,53.6919042771395,10.01179919580995,False,55.0,2.4,Norderstedt Mitte,Rail,0.62,Good,8.3,1.4,6.4,26.1,≤30 min,64.5,Medium
EMP0124,Alsterdorf/Ohlsdorf,53.619650802095,10.001237547996812,False,88.0,8.0,Ohlsdorf,Rail,1.58,Medium,21.1,9.8,15.5,56.4,46–60 min,59.1,Medium
EMP0125,Norderstedt,53.681890416470054,10.003582441521866,True,41.0,2.9,Ochsenzoll,Rail,0.69,Good,9.2,0.5,8.6,28.3,≤30 min,49.2,Medium
EMP0126,Eppendorf/Winterhude,53.59002676637303,10.001970333000154,True,55.0,11.1,Kellinghusenstraße,Rail,1.14,Medium,15.2,11.6,28.2,65.0,>60 min,36.1,Low
EMP0127,Alsterdorf/Ohlsdorf,53.61599477473016,10.017555820886502,True,70.0,8.1,Ohlsdorf,Rail,1.75,Medium,23.3,12.0,15.5,60.8,>60 min,41.0,Medium
EMP0128,Norderstedt,53.696638993481784,10.004878322997458,True,47.0,3.0,Norderstedt Mitte,Rail,0.42,Good,5.6,9.0,6.4,31.0,31–45 min,49.4,Medium
EMP0129,Norderstedt,53.7054080612169,10.020974051450464,False,38.0,2.7,Norderstedt Mitte,Rail,1.09,Medium,14.5,12.9,6.4,43.8,31–45 min,48.1,Medium
EMP0130,Eimsbüttel,53.58204645226236,9.97517507758021,False,4.0,12.5,Kellinghusenstraße,Rail,0.88,Good,11.7,1.5,28.2,51.4,46–60 min,40.8,Medium
EMP0131,Norderstedt,53.704183260181075,10.025463017565635,True,63.0,2.4,Norderstedt Mitte,Rail,1.2,Medium,16.0,4.1,6.4,36.5,31–45 min,50.1,Medium
EMP0132,Ahrensburg,53.66731627717769,10.243094134071256,True,48.0,13.1,Ahrensburg,Rail,0.84,Good,11.2,6.2,30.3,57.7,46–60 min,40.4,Medium
EMP0133,Eimsbüttel,53.587578154084106,9.977234287120856,False,30.0,11.9,Kellinghusenstraße,Rail,0.53,Good,7.1,0.6,28.2,45.9,46–60 min,51.7,Medium
EMP0134,Alsterdorf/Ohlsdorf,53.63128936947624,9.99319201572026,True,53.0,7.1,Ohlsdorf,Rail,1.39,Medium,18.5,6.7,15.5,50.7,46–60 min,41.6,Medium
EMP0135,Eimsbüttel,53.568898504803485,9.960420934513715,False,38.0,14.3,Kellinghusenstraße,Rail,2.62,Poor,26.7,4.0,28.2,68.9,>60 min,41.1,Medium
EMP0136,Norderstedt,53.68862304344285,10.002429947436767,True,39.0,2.9,Ochsenzoll,Rail,0.94,Good,12.5,5.9,8.6,37.0,31–45 min,43.0,Medium
EMP0137,Pinneberg,53.6759578433632,9.797292258611273,False,62.0,16.5,Pinneberg,Rail,1.49,Medium,19.9,6.4,40.2,76.5,>60 min,45.1,Medium
EMP0138,Eppendorf/Winterhude,53.59108656013305,9.992285507808033,True,23.0,11.2,Kellinghusenstraße,Rail,0.63,Good,8.4,13.2,28.2,59.8,46–60 min,30.0,Low
EMP0139,Quickborn,53.750138213920664,9.907538421580503,False,71.0,11.6,Quickborn (AKN),Rail,1.56,Medium,20.8,4.1,25.5,60.4,>60 min,54.3,Medium
EMP0140,Norderstedt,53.69307464288108,10.02992174880204,True,22.0,1.3,Norderstedt Mitte,Rail,1.33,Medium,17.7,13.4,6.4,47.5,46–60 min,29.8,Low
EMP0141,Eppendorf/Winterhude,53.60755045576271,9.996302802035796,False,37.0,9.4,Kellinghusenstraße,Rail,2.38,Poor,26.7,6.4,28.2,71.3,>60 min,35.3,Low
EMP0142,Eppendorf/Winterhude,53.594314858168055,10.002137923171901,True,88.0,10.7,Kellinghusenstraße,Rail,1.36,Medium,18.1,4.9,28.2,61.2,>60 min,48.2,Medium
EMP0143,Ahrensburg,53.67678228823323,10.235477306700759,True,73.0,12.5,Ahrensburg,Rail,0.33,Good,4.4,7.5,30.3,52.2,46–60 min,51.0,Medium
EMP0144,Eimsbüttel,53.5942471802167,9.964357132879568,False,52.0,11.6,Kellinghusenstraße,Rail,1.59,Medium,21.2,6.3,28.2,65.7,>60 min,45.2,Medium
EMP0145,Eppendorf/Winterhude,53.58938229522556,9.99806016680436,True,31.0,11.3,Kellinghusenstraße,Rail,0.88,Good,11.7,3.9,28.2,53.8,46–60 min,36.4,Low
EMP0146,Langenhorn,53.65138877904075,9.985883240659732,True,39.0,5.6,Langenhorn Nord,Rail,1.33,Medium,17.7,7.5,12.0,47.2,46–60 min,38.5,Low
EMP0147,Alsterdorf/Ohlsdorf,53.61051435791972,10.023653075355472,True,51.0,8.6,Ohlsdorf,Rail,2.42,Poor,26.7,2.3,15.5,54.5,46–60 min,39.8,Low
